Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
N-ACC,0.25,DAL,63.87,35.52,19.23,29.98,46.34,48.19,67.6,46.34,42.33,43.79,74.83,13.52,44.29
N-ACC,0.25,GeoID,97.55,72.81,54.23,33.86,61.79,73.94,79.15,68.09,53.79,48.14,68.87,20.65,61.07
N-ACC,0.25,SDC,67.34,56.45,32.25,37.43,37.77,62.42,58.03,57.55,48.64,35.53,59.23,24.96,48.13
N-ACC,0.25,DPN,75.32,46.53,17.27,29.88,23.57,8.52,41.72,33.13,44.67,26.89,67.57,16.19,35.94
N-ACC,0.25,TAN,83.56,54.85,20.14,31.82,28.47,13.83,47.05,37.72,51.31,29.0,66.79,22.52,40.59
N-ACC,0.25,LOOP,86.29,65.64,55.75,36.94,63.72,75.61,82.88,69.47,63.64,40.77,70.26,19.16,60.84
N-ACC,0.25,ALUP,92.68,79.71,57.64,34.91,64.71,77.51,82.83,68.67,63.5,55.16,76.4,20.01,64.48
N-ACC,0.5,DAL,89.38,40.91,25.44,36.5,50.81,62.51,72.3,52.68,51.8,50.08,75.36,9.06,51.4
N-ACC,0.5,GeoID,99.01,70.62,54.04,39.91,67.36,76.63,82.04,72.49,57.66,50.98,73.33,14.08,63.18
N-ACC,0.5,SDC,91.25,80.49,56.01,56.48,57.8,75.5,70.67,67.92,69.08,55.64,68.0,15.38,63.69
N-ACC,0.5,DPN,81.74,33.21,18.42,24.08,33.22,13.69,54.72,29.79,46.85,21.77,68.46,12.34,36.52
N-ACC,0.5,TAN,97.73,58.74,31.37,45.58,37.13,27.0,54.4,36.58,56.35,31.85,72.39,17.1,47.18
N-ACC,0.5,LOOP,85.07,68.37,54.01,38.64,64.98,78.99,82.25,73.1,62.54,42.86,74.12,12.42,61.45
N-ACC,0.5,ALUP,97.62,79.41,56.24,41.11,66.59,77.4,82.79,70.61,63.89,64.24,77.86,12.99,65.9
N-ACC,0.75,DAL,86.18,49.69,20.61,42.34,51.78,59.32,72.17,59.64,49.21,53.11,74.11,16.65,52.9
N-ACC,0.75,GeoID,97.36,74.96,57.08,49.61,69.56,79.24,78.11,72.41,56.12,40.61,72.74,20.3,64.01
N-ACC,0.75,SDC,97.87,86.28,60.78,72.3,69.79,83.3,72.77,81.17,77.28,60.9,76.29,18.15,71.41
N-ACC,0.75,DPN,93.14,36.54,26.33,30.16,35.83,28.74,57.9,37.1,45.46,25.56,68.01,17.3,41.84
N-ACC,0.75,TAN,99.73,70.14,42.5,70.22,38.96,31.89,55.93,34.83,59.29,25.56,70.55,18.2,51.48
N-ACC,0.75,LOOP,82.55,66.49,53.25,53.54,66.27,77.14,83.96,69.8,62.91,62.01,72.66,20.69,64.27
N-ACC,0.75,ALUP,99.63,80.51,48.85,52.37,66.62,79.42,82.23,70.62,68.84,62.89,75.96,18.48,67.2
