Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
ACC,0.25,DOC,91.41,67.67,57.33,75.55,79.18,67.42,88.68,75.93,77.32,70.94,86.25,75.12,76.07
ACC,0.25,DeepUNK,96.85,34.31,62.46,79.63,84.52,83.54,89.29,87.56,77.43,82.99,62.12,58.21,74.91
ACC,0.25,ADB,69.48,77.96,55.02,71.41,77.34,85.91,88.46,76.51,81.78,61.75,82.89,45.01,72.79
ACC,0.25,SCL,87.29,57.54,63.47,79.82,69.79,65.68,72.61,61.88,10.81,78.01,66.06,47.52,63.37
ACC,0.25,AB,70.54,43.18,64.79,54.54,73.43,75.91,81.8,80.3,61.1,77.04,70.76,61.42,67.9
ACC,0.25,KNNCon,87.22,59.92,33.78,57.85,63.69,60.26,81.63,62.33,55.55,50.53,67.9,40.0,60.06
ACC,0.25,DyEn,97.53,64.26,26.85,66.88,66.36,53.8,85.38,68.15,78.02,63.21,67.16,38.92,64.71
ACC,0.25,LLM-MaxSoftmax,41.22,36.6,29.49,42.88,41.13,36.88,49.16,42.06,50.27,40.6,53.94,40.71,42.08
ACC,0.25,LLM-OpenMax,83.93,64.94,30.89,75.47,85.86,68.29,91.86,83.58,75.96,56.25,85.07,71.54,72.8
ACC,0.25,LLM-TempScale,40.44,36.82,29.7,42.49,41.03,37.07,49.18,41.67,46.88,39.4,54.32,43.25,41.85
ACC,0.25,LLM-Energy,91.0,85.38,77.23,85.27,87.0,91.95,94.22,87.82,88.39,80.36,91.88,65.0,85.46
ACC,0.25,LLM-LogitNorm,43.18,33.57,41.35,62.9,68.24,33.59,86.6,65.12,43.74,37.79,88.86,48.61,54.46
ACC,0.25,LLM-Entropy,44.3,39.25,38.4,44.24,37.45,38.41,46.05,41.41,53.94,46.22,51.73,39.14,43.38
ACC,0.25,LLM-KLMatching,33.75,32.57,26.06,36.94,32.84,33.16,39.99,36.59,35.45,34.35,43.32,21.74,33.9
