Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,Avg.
ARI,0.25,DAL,63.10,33.83,8.76,18.46,37.74,38.46,62.57,36.89,36.36,33.77,73.93,40.35
ARI,0.25,GeoID,97.84,63.03,32.16,27.40,54.53,55.64,74.76,57.61,40.78,32.52,68.56,54.98
ARI,0.25,SDC,58.80,44.50,12.32,36.35,29.07,41.49,48.76,45.28,41.73,17.17,51.16,38.78
ARI,0.25,DPN,76.82,44.23,8.82,29.83,23.84,12.74,39.76,26.63,40.70,19.43,64.50,35.21
ARI,0.25,TAN,83.39,51.48,11.35,61.21,27.45,16.54,46.06,29.46,45.93,22.05,66.10,41.91
ARI,0.25,LOOP,86.91,61.33,34.04,23.63,56.95,63.15,79.66,61.23,51.48,26.55,68.08,55.73
ARI,0.25,ALUP,92.28,70.67,35.60,26.99,56.88,60.50,78.69,60.78,57.22,42.68,75.98,59.84
ARI,0.5,DAL,90.60,48.89,18.64,24.53,47.12,56.41,71.46,48.38,41.76,47.40,76.10,51.94
ARI,0.5,GeoID,99.61,69.13,34.38,38.27,62.78,62.06,80.63,65.39,45.65,35.57,74.93,60.76
ARI,0.5,SDC,84.26,65.86,30.18,48.42,45.30,59.37,59.85,55.90,59.41,43.76,60.47,55.71
ARI,0.5,DPN,87.81,47.52,18.04,39.65,42.07,26.88,60.90,36.27,55.98,31.45,70.93,47.05
ARI,0.5,TAN,98.23,64.96,23.52,70.14,44.06,37.46,62.34,37.14,58.93,35.64,78.45,55.53
ARI,0.5,LOOP,90.90,68.82,36.49,25.91,62.21,70.10,82.91,66.85,49.92,27.65,74.20,59.63
ARI,0.5,ALUP,97.35,75.24,36.98,39.24,62.31,66.80,82.04,64.67,59.17,54.73,78.97,65.23
ARI,0.75,DAL,93.69,65.48,32.66,31.81,52.71,59.26,77.05,56.31,47.37,58.65,77.39,59.31
ARI,0.75,GeoID,97.26,72.94,39.00,39.49,67.05,64.44,83.50,68.34,54.20,31.59,78.48,63.30
ARI,0.75,SDC,92.05,74.56,37.89,65.28,59.96,69.02,70.46,66.31,69.40,55.72,71.48,66.56
ARI,0.75,DPN,98.34,65.05,33.04,60.66,54.47,43.04,74.85,51.59,69.62,46.30,76.69,61.24
ARI,0.75,TAN,99.82,72.39,35.58,72.22,58.45,54.31,74.36,51.39,69.34,47.96,81.52,65.21
ARI,0.75,LOOP,95.76,74.76,40.15,31.58,69.42,74.25,86.93,68.53,50.79,53.06,76.65,65.63
ARI,0.75,ALUP,98.29,79.06,40.92,51.91,68.57,72.46,86.32,69.88,65.40,59.58,80.82,70.29
