Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,Avg.
F1,0.25,DOC,37.47,44.20,36.90,34.15,4.15,61.98,2.19,5.05,8.00,17.20,1.43,22.97
F1,0.25,DeepUNK,42.62,23.96,45.51,28.93,35.82,35.54,45.63,45.20,3.06,33.61,27.81,33.43
F1,0.25,ADB,44.46,63.83,40.50,20.04,35.22,73.28,69.74,50.39,38.25,39.00,40.99,46.88
F1,0.25,SCL,96.98,26.80,30.68,12.77,19.52,42.07,24.06,27.76,1.83,23.10,10.29,28.71
F1,0.25,AB,57.65,29.56,55.04,27.43,58.62,59.96,68.07,62.64,32.23,49.72,26.50,47.95
F1,0.25,KNNCon,88.95,58.70,39.02,50.91,63.27,59.73,77.07,71.60,61.06,55.74,62.03,62.55
F1,0.25,DyEn,94.15,63.48,34.44,60.40,63.55,50.29,76.81,66.48,77.39,67.69,66.70,65.58
F1,0.25,LLM-MaxSoftmax,26.01,39.21,30.07,10.19,36.50,44.55,48.03,34.87,21.27,18.90,7.38,28.82
F1,0.25,LLM-OpenMax,23.87,40.41,21.95,8.77,11.18,55.16,15.53,11.95,18.84,20.32,2.05,20.91
F1,0.25,LLM-TempScale,26.46,38.99,28.87,9.78,36.34,43.36,47.66,33.86,20.28,19.20,7.23,28.37
F1,0.25,LLM-Energy,32.49,46.11,39.80,11.51,34.75,65.63,45.20,31.72,16.21,20.67,4.70,31.71
F1,0.25,LLM-LogitNorm,23.94,33.71,32.53,10.47,41.07,36.01,58.78,36.45,17.71,17.11,6.01,28.53
F1,0.25,LLM-Entropy,27.78,43.36,37.79,10.37,36.80,48.87,47.95,35.54,22.98,19.32,7.44,30.75
F1,0.25,LLM-KLMatching,22.83,37.60,26.31,6.96,33.20,38.56,43.05,32.08,16.97,14.53,6.89,25.36
F1,0.25,LLM-MaxLogit,32.82,46.97,40.28,11.48,39.68,67.51,51.56,34.84,17.85,20.85,5.81,33.60
F1,0.5,DOC,23.78,41.61,14.74,2.42,1.74,69.19,43.43,2.08,3.59,7.47,0.48,19.14
F1,0.5,DeepUNK,34.07,18.13,20.70,27.93,48.54,30.40,59.58,57.26,1.95,47.44,27.63,33.97
F1,0.5,ADB,69.17,81.00,53.73,23.79,57.92,82.87,72.83,59.40,47.35,41.63,58.24,58.90
F1,0.5,SCL,98.49,20.68,27.20,14.67,23.14,50.04,32.27,27.81,1.48,29.11,8.45,30.30
F1,0.5,AB,54.82,28.46,45.80,18.48,61.32,64.05,70.20,65.31,29.58,46.54,24.35,46.26
F1,0.5,KNNCon,92.03,75.38,53.36,54.92,77.18,79.73,86.82,80.97,80.53,78.08,66.11,75.01
F1,0.5,DyEn,93.34,74.48,49.88,52.34,77.26,72.93,85.84,77.70,80.87,75.48,72.05,73.83
F1,0.5,LLM-MaxSoftmax,75.91,52.82,42.78,23.16,57.63,69.71,75.14,51.61,26.42,13.51,10.81,45.41
F1,0.5,LLM-OpenMax,68.58,39.14,38.33,11.71,9.15,71.71,22.83,12.16,9.75,15.62,1.16,27.29
F1,0.5,LLM-TempScale,75.89,52.84,42.79,22.85,57.40,69.40,74.79,51.52,26.77,13.46,10.83,45.32
F1,0.5,LLM-Energy,81.41,47.84,37.42,13.80,41.84,75.71,62.87,27.22,13.48,10.92,4.08,37.87
F1,0.5,LLM-LogitNorm,77.46,48.95,38.28,21.56,55.43,71.68,73.81,43.88,24.19,13.56,7.07,43.26
F1,0.5,LLM-Entropy,77.06,54.30,44.53,22.30,57.45,70.82,74.49,52.94,26.27,12.60,10.93,45.79
F1,0.5,LLM-KLMatching,72.41,52.14,42.07,21.59,55.85,65.47,71.57,51.15,22.78,12.48,10.69,43.47
F1,0.5,LLM-MaxLogit,85.43,50.47,38.98,15.57,49.59,79.29,70.50,33.48,16.40,11.28,5.72,41.52
F1,0.75,DOC,32.93,29.11,8.86,23.36,0.64,72.14,0.36,0.87,1.76,3.13,0.14,15.75
F1,0.75,DeepUNK,52.14,10.52,16.45,18.38,49.74,33.54,63.39,58.98,1.74,58.00,22.15,35.00
F1,0.75,ADB,86.54,83.29,59.61,24.78,63.42,83.38,80.86,65.66,51.02,47.07,65.91,64.69
F1,0.75,SCL,98.24,17.23,18.08,15.86,23.79,63.17,55.05,41.28,1.22,27.29,9.20,33.67
F1,0.75,AB,56.52,25.80,46.80,15.46,62.51,65.75,71.69,64.65,29.04,43.29,22.52,45.82
F1,0.75,KNNCon,97.09,82.56,62.76,72.03,86.01,86.08,92.66,85.83,87.45,82.57,73.62,82.61
F1,0.75,DyEn,95.53,80.96,60.71,62.38,86.51,83.94,92.24,81.74,88.83,83.29,79.31,81.40
F1,0.75,LLM-MaxSoftmax,89.07,69.64,53.10,28.78,65.56,81.68,86.06,61.22,33.14,36.70,12.68,56.15
F1,0.75,LLM-OpenMax,51.53,49.37,36.60,9.10,11.74,72.56,31.02,10.27,6.08,11.19,1.41,26.44
F1,0.75,LLM-TempScale,88.65,69.64,53.08,28.63,65.55,81.67,86.05,61.18,33.48,36.76,12.88,56.14
F1,0.75,LLM-Energy,80.81,53.90,30.34,14.42,34.86,76.13,67.93,32.82,10.59,19.32,4.09,38.66
F1,0.75,LLM-LogitNorm,91.75,70.00,51.46,21.84,49.53,85.51,78.36,46.21,27.33,30.83,6.28,50.83
F1,0.75,LLM-Entropy,89.57,70.67,53.66,29.48,65.52,81.38,85.54,62.54,32.57,36.55,13.12,56.42
F1,0.75,LLM-KLMatching,87.44,69.33,52.98,28.78,65.47,78.99,85.34,61.34,33.67,37.99,14.04,55.94
F1,0.75,LLM-MaxLogit,86.74,58.45,33.37,17.23,43.69,79.65,75.41,40.20,13.07,22.92,6.40,43.38
