Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
K-F1,0.25,DOC,76.90,48.18,39.98,42.81,66.74,57.17,80.21,70.46,0.02,62.61,52.03,12.53,50.80
K-F1,0.25,DeepUNK,92.69,34.13,43.76,35.37,70.48,62.65,75.07,73.46,1.70,58.44,33.07,11.21,49.34
K-F1,0.25,ADB,73.70,73.76,48.93,54.51,66.44,76.90,82.33,73.27,71.86,62.47,78.94,21.76,65.41
K-F1,0.25,SCL,69.02,25.11,17.04,34.56,27.80,41.11,50.33,39.31,2.74,43.48,38.18,10.30,33.25
K-F1,0.25,AB,53.52,26.07,42.27,28.18,58.56,59.34,70.90,67.30,42.04,60.05,51.71,10.32,47.52
K-F1,0.25,KNNCon,86.81,62.57,40.13,44.55,64.16,60.07,78.33,71.88,61.22,58.93,58.21,17.30,58.68
K-F1,0.25,DyEn,96.23,63.06,39.40,52.56,64.42,56.51,80.46,66.86,74.14,64.30,62.86,23.21,62.00
K-F1,0.25,LLM-MaxSoftmax,59.20,51.25,39.62,47.16,50.92,46.55,58.12,61.96,50.23,51.86,59.18,13.73,49.15
K-F1,0.25,LLM-OpenMax,81.27,64.07,39.02,42.39,68.78,63.70,81.59,78.36,51.03,53.90,41.91,14.56,56.71
K-F1,0.25,LLM-TempScale,58.81,51.37,39.70,46.97,50.89,46.63,58.13,61.81,48.49,51.23,59.43,13.57,48.92
K-F1,0.25,LLM-Energy,88.48,77.16,53.97,48.59,72.77,82.38,88.76,75.94,56.89,64.40,71.05,9.23,65.80
K-F1,0.25,LLM-LogitNorm,59.32,50.01,40.63,55.93,64.35,45.17,82.62,71.73,46.43,49.05,79.38,11.20,54.65
K-F1,0.25,LLM-Entropy,60.66,52.35,42.78,48.05,49.58,47.22,56.85,61.79,52.80,54.47,58.55,13.74,49.90
K-F1,0.25,LLM-KLMatching,56.65,49.79,38.43,44.43,47.51,44.97,54.14,60.02,44.25,49.22,54.40,14.86,46.56
K-F1,0.25,LLM-MaxLogit,88.64,77.74,54.32,53.44,74.92,82.92,89.70,77.61,60.38,66.60,75.89,10.57,67.73
K-F1,0.5,DOC,78.55,51.70,46.65,53.68,74.69,73.21,84.12,75.64,0.00,70.02,49.03,10.01,55.61
K-F1,0.5,DeepUNK,95.61,41.68,49.91,30.33,62.73,69.18,71.20,71.46,1.81,63.45,22.51,8.41,49.02
K-F1,0.5,ADB,87.12,84.64,58.13,65.76,81.32,85.92,88.60,80.46,82.35,77.11,84.63,22.60,74.89
