Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
ACC,0.25,DAL,69.62,48.59,25.8,30.6,49.83,53.68,71.7,49.91,46.42,47.22,76.2,12.32,48.49
ACC,0.25,GeoID,97.84,76.1,55.98,38.96,65.17,74.65,81.61,69.73,54.24,50.98,72.37,17.0,62.89
ACC,0.25,SDC,69.11,63.65,36.65,47.5,41.76,65.42,62.38,59.54,55.24,36.64,63.42,32.07,52.78
ACC,0.25,DPN,80.03,59.0,26.02,41.21,35.56,28.05,52.5,42.27,52.47,37.71,72.05,15.83,45.23
ACC,0.25,TAN,86.4,65.43,29.69,60.71,39.09,30.96,57.72,45.62,55.62,39.16,71.68,32.02,51.17
ACC,0.25,LOOP,88.53,73.22,56.68,37.24,67.33,77.48,85.58,71.92,64.64,44.47,72.52,17.19,63.07
ACC,0.25,ALUP,94.05,82.7,60.42,39.96,67.78,79.61,85.12,71.44,66.63,59.94,78.28,18.1,67.0
ACC,0.5,DAL,91.47,63.04,38.16,38.6,57.96,71.84,78.99,60.82,52.85,60.03,77.88,13.1,58.73
ACC,0.5,GeoID,99.52,79.14,57.6,46.24,73.02,79.0,86.89,76.22,58.83,52.64,77.67,19.57,67.19
ACC,0.5,SDC,88.72,80.77,55.12,59.28,57.74,76.79,70.52,69.11,69.28,61.3,70.36,34.16,66.1
ACC,0.5,DPN,88.6,61.66,38.23,50.27,54.23,48.16,69.92,52.26,64.14,49.45,76.49,26.87,56.69
ACC,0.5,TAN,98.56,76.28,45.42,68.89,57.58,53.95,71.75,54.56,68.14,54.06,81.96,29.23,63.37
ACC,0.5,LOOP,90.98,80.95,59.27,40.45,72.54,83.12,88.07,76.98,64.11,47.06,77.76,16.77,66.51
ACC,0.5,ALUP,97.68,86.52,62.13,51.18,73.05,81.85,87.83,75.45,69.47,70.51,81.1,18.46,71.27
ACC,0.75,DAL,93.35,76.47,55.61,41.75,62.99,72.04,83.35,68.38,56.88,69.76,79.26,15.71,64.63
ACC,0.75,GeoID,97.1,82.41,61.69,50.73,77.29,80.8,88.77,78.72,63.98,49.24,81.19,21.55,69.46
ACC,0.75,SDC,93.22,85.97,62.82,70.16,71.64,83.38,78.23,78.49,77.4,71.23,79.21,45.88,74.8
ACC,0.75,DPN,98.41,73.81,55.62,64.99,66.73,68.41,81.91,66.19,74.95,63.98,81.24,32.84,69.09
ACC,0.75,TAN,99.9,80.67,59.3,74.91,69.94,70.08,81.66,65.42,75.1,65.33,85.22,31.41,71.58
ACC,0.75,LOOP,95.67,84.95,62.51,45.1,78.97,85.16,91.14,77.91,64.71,68.78,79.95,19.55,71.2
ACC,0.75,ALUP,98.67,88.17,65.26,59.31,78.52,85.5,91.04,79.92,73.63,75.2,82.97,23.08,75.11
