method,dataset,known_cls_ratio,labeled_ratio,cluster_num_factor,seed,ACC,H-Score,K-ACC,N-ACC,ARI,NMI,args
ALUP,banking,0.25,0.1,1.0,2025,70.91,73.68,80.92,67.63,60.73,83.38,"{""config"": ""configs/gcd/alup.yaml"", ""dataset"": ""banking"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""seed"": 2025, ""fold_num"": 5, ""fold_idx"": 0, ""gpu_id"": 0, ""max_seq_length"": 55, ""method"": ""ALUP"", ""data_dir"": ""./data"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""output_base_dir"": ""./outputs/gcd/alup"", ""output_subdir"": ""finetune/banking_0.25_0.1_fold0_2025"", ""pretrained_stage1_subdir"": ""pretrain/banking_0.25_0.1_fold0_2025"", ""do_pretrain_and_contrastive"": false, ""do_al_finetune"": true, ""finish_pretrain"": false, ""save_results"": true, ""num_train_epochs"": 50, ""num_pretrain_epochs"": 100, ""pretrain_batch_size"": 16, ""train_batch_size"": 32, ""eval_batch_size"": 64, ""lr"": 1e-05, ""lr_pre"": 5e-05, ""warmup_proportion"": 0.1, ""wait_patient"": 20, ""early_stopping_patience"": 5, ""early_stopping_min_delta"": 0.001, ""monitor_sum_metrics"": true, ""cluster_num_factor"": 1.0, ""embed_feat_dim"": 768, ""head_feat_dim"": 128, ""topk"": 50, ""rtr_prob"": 0.25, ""update_per_epoch"": 5, ""llm_model_name"": ""deepseek-v3:671b"", ""api_base"": ""https://uni-api.cstcloud.cn/v1"", ""comparison_cluster_ratio"": 0.5, ""student_t_freedom"": 1, ""uncertainty_neighbour_num"": 25, ""rho"": 0.1, ""save_results_path"": ""./results/gcd/alup"", ""log_dir"": ""./outputs/gcd/alup/finetune/banking_0.25_0.1_fold0_2025/logs"", ""logger_name"": ""Discovery"", ""output_dir"": ""./outputs/gcd/alup/finetune/banking_0.25_0.1_fold0_2025"", ""result_dir"": ""./outputs/gcd/alup/finetune/banking_0.25_0.1_fold0_2025"", ""results_file_name"": ""results.csv"", ""model_file_name"": ""model"", ""num_labels"": 77}"
ALUP,banking,0.25,0.1,1.0,2025,71.66,73.76,78.82,69.31,61.23,83.8,"{""config"": ""configs/gcd/alup.yaml"", ""dataset"": ""banking"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""seed"": 2025, ""fold_num"": 5, ""fold_idx"": 1, ""gpu_id"": 0, ""max_seq_length"": 55, ""method"": ""ALUP"", ""data_dir"": ""./data"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""output_base_dir"": ""./outputs/gcd/alup"", ""output_subdir"": ""finetune/banking_0.25_0.1_fold1_2025"", ""pretrained_stage1_subdir"": ""pretrain/banking_0.25_0.1_fold1_2025"", ""do_pretrain_and_contrastive"": false, ""do_al_finetune"": true, ""finish_pretrain"": false, ""save_results"": true, ""num_train_epochs"": 50, ""num_pretrain_epochs"": 100, ""pretrain_batch_size"": 16, ""train_batch_size"": 32, ""eval_batch_size"": 64, ""lr"": 1e-05, ""lr_pre"": 5e-05, ""warmup_proportion"": 0.1, ""wait_patient"": 20, ""early_stopping_patience"": 5, ""early_stopping_min_delta"": 0.001, ""monitor_sum_metrics"": true, ""cluster_num_factor"": 1.0, ""embed_feat_dim"": 768, ""head_feat_dim"": 128, ""topk"": 50, ""rtr_prob"": 0.25, ""update_per_epoch"": 5, ""llm_model_name"": ""deepseek-v3:671b"", ""api_base"": ""https://uni-api.cstcloud.cn/v1"", ""comparison_cluster_ratio"": 0.5, ""student_t_freedom"": 1, ""uncertainty_neighbour_num"": 25, ""rho"": 0.1, ""save_results_path"": ""./results/gcd/alup"", ""log_dir"": ""./outputs/gcd/alup/finetune/banking_0.25_0.1_fold1_2025/logs"", ""logger_name"": ""Discovery"", ""output_dir"": ""./outputs/gcd/alup/finetune/banking_0.25_0.1_fold1_2025"", ""result_dir"": ""./outputs/gcd/alup/finetune/banking_0.25_0.1_fold1_2025"", ""results_file_name"": ""results.csv"", ""model_file_name"": ""model"", ""num_labels"": 77}"
ALUP,clinc,0.25,0.1,1.0,2025,86.04,87.86,92.11,83.99,80.12,94.3,"{""config"": ""configs/gcd/alup.yaml"", ""dataset"": ""clinc"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""seed"": 2025, ""fold_num"": 5, ""fold_idx"": 0, ""gpu_id"": 0, ""max_seq_length"": 30, ""method"": ""ALUP"", ""data_dir"": ""./data"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""output_base_dir"": ""./outputs/gcd/alup"", ""output_subdir"": ""finetune/clinc_0.25_0.1_fold0_2025"", ""pretrained_stage1_subdir"": ""pretrain/clinc_0.25_0.1_fold0_2025"", ""do_pretrain_and_contrastive"": false, ""do_al_finetune"": true, ""finish_pretrain"": false, ""save_results"": true, ""num_train_epochs"": 50, ""num_pretrain_epochs"": 100, ""pretrain_batch_size"": 16, ""train_batch_size"": 32, ""eval_batch_size"": 64, ""lr"": 1e-05, ""lr_pre"": 5e-05, ""warmup_proportion"": 0.1, ""wait_patient"": 20, ""early_stopping_patience"": 5, ""early_stopping_min_delta"": 0.001, ""monitor_sum_metrics"": true, ""cluster_num_factor"": 1.0, ""embed_feat_dim"": 768, ""head_feat_dim"": 128, ""topk"": 50, ""rtr_prob"": 0.25, ""update_per_epoch"": 5, ""llm_model_name"": ""deepseek-v3:671b"", ""api_base"": ""https://uni-api.cstcloud.cn/v1"", ""comparison_cluster_ratio"": 0.5, ""student_t_freedom"": 1, ""uncertainty_neighbour_num"": 25, ""rho"": 0.1, ""save_results_path"": ""./results/gcd/alup"", ""log_dir"": ""./outputs/gcd/alup/finetune/clinc_0.25_0.1_fold0_2025/logs"", ""logger_name"": ""Discovery"", ""output_dir"": ""./outputs/gcd/alup/finetune/clinc_0.25_0.1_fold0_2025"", ""result_dir"": ""./outputs/gcd/alup/finetune/clinc_0.25_0.1_fold0_2025"", ""results_file_name"": ""results.csv"", ""model_file_name"": ""model"", ""num_labels"": 150}"
ALUP,banking,0.25,0.1,1.0,2025,69.32,70.59,73.42,67.97,56.35,80.9,"{""config"": ""configs/gcd/alup.yaml"", ""dataset"": ""banking"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""seed"": 2025, ""fold_num"": 5, ""fold_idx"": 2, ""gpu_id"": 0, ""max_seq_length"": 55, ""method"": ""ALUP"", ""data_dir"": ""./data"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""output_base_dir"": ""./outputs/gcd/alup"", ""output_subdir"": ""finetune/banking_0.25_0.1_fold2_2025"", ""pretrained_stage1_subdir"": ""pretrain/banking_0.25_0.1_fold2_2025"", ""do_pretrain_and_contrastive"": false, ""do_al_finetune"": true, ""finish_pretrain"": false, ""save_results"": true, ""num_train_epochs"": 50, ""num_pretrain_epochs"": 100, ""pretrain_batch_size"": 16, ""train_batch_size"": 32, ""eval_batch_size"": 64, ""lr"": 1e-05, ""lr_pre"": 5e-05, ""warmup_proportion"": 0.1, ""wait_patient"": 20, ""early_stopping_patience"": 5, ""early_stopping_min_delta"": 0.001, ""monitor_sum_metrics"": true, ""cluster_num_factor"": 1.0, ""embed_feat_dim"": 768, ""head_feat_dim"": 128, ""topk"": 50, ""rtr_prob"": 0.25, ""update_per_epoch"": 5, ""llm_model_name"": ""deepseek-v3:671b"", ""api_base"": ""https://uni-api.cstcloud.cn/v1"", ""comparison_cluster_ratio"": 0.5, ""student_t_freedom"": 1, ""uncertainty_neighbour_num"": 25, ""rho"": 0.1, ""save_results_path"": ""./results/gcd/alup"", ""log_dir"": ""./outputs/gcd/alup/finetune/banking_0.25_0.1_fold2_2025/logs"", ""logger_name"": ""Discovery"", ""output_dir"": ""./outputs/gcd/alup/finetune/banking_0.25_0.1_fold2_2025"", ""result_dir"": ""./outputs/gcd/alup/finetune/banking_0.25_0.1_fold2_2025"", ""results_file_name"": ""results.csv"", ""model_file_name"": ""model"", ""num_labels"": 77}"
ALUP,banking,0.25,0.1,1.0,2025,65.81,67.67,72.11,63.75,54.76,80.61,"{""config"": ""configs/gcd/alup.yaml"", ""dataset"": ""banking"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""seed"": 2025, ""fold_num"": 5, ""fold_idx"": 3, ""gpu_id"": 0, ""max_seq_length"": 55, ""method"": ""ALUP"", ""data_dir"": ""./data"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""output_base_dir"": ""./outputs/gcd/alup"", ""output_subdir"": ""finetune/banking_0.25_0.1_fold3_2025"", ""pretrained_stage1_subdir"": ""pretrain/banking_0.25_0.1_fold3_2025"", ""do_pretrain_and_contrastive"": false, ""do_al_finetune"": true, ""finish_pretrain"": false, ""save_results"": true, ""num_train_epochs"": 50, ""num_pretrain_epochs"": 100, ""pretrain_batch_size"": 16, ""train_batch_size"": 32, ""eval_batch_size"": 64, ""lr"": 1e-05, ""lr_pre"": 5e-05, ""warmup_proportion"": 0.1, ""wait_patient"": 20, ""early_stopping_patience"": 5, ""early_stopping_min_delta"": 0.001, ""monitor_sum_metrics"": true, ""cluster_num_factor"": 1.0, ""embed_feat_dim"": 768, ""head_feat_dim"": 128, ""topk"": 50, ""rtr_prob"": 0.25, ""update_per_epoch"": 5, ""llm_model_name"": ""deepseek-v3:671b"", ""api_base"": ""https://uni-api.cstcloud.cn/v1"", ""comparison_cluster_ratio"": 0.5, ""student_t_freedom"": 1, ""uncertainty_neighbour_num"": 25, ""rho"": 0.1, ""save_results_path"": ""./results/gcd/alup"", ""log_dir"": ""./outputs/gcd/alup/finetune/banking_0.25_0.1_fold3_2025/logs"", ""logger_name"": ""Discovery"", ""output_dir"": ""./outputs/gcd/alup/finetune/banking_0.25_0.1_fold3_2025"", ""result_dir"": ""./outputs/gcd/alup/finetune/banking_0.25_0.1_fold3_2025"", ""results_file_name"": ""results.csv"", ""model_file_name"": ""model"", ""num_labels"": 77}"
ALUP,hwu,0.25,0.1,1.0,2025,70.93,72.59,76.31,69.22,59.16,82.74,"{""config"": ""configs/gcd/alup.yaml"", ""dataset"": ""hwu"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""seed"": 2025, ""fold_num"": 5, ""fold_idx"": 2, ""gpu_id"": 0, ""max_seq_length"": 55, ""method"": ""ALUP"", ""data_dir"": ""./data"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""output_base_dir"": ""./outputs/gcd/alup"", ""output_subdir"": ""finetune/hwu_0.25_0.1_fold2_2025"", ""pretrained_stage1_subdir"": ""pretrain/hwu_0.25_0.1_fold2_2025"", ""do_pretrain_and_contrastive"": false, ""do_al_finetune"": true, ""finish_pretrain"": false, ""save_results"": true, ""num_train_epochs"": 50, ""num_pretrain_epochs"": 100, ""pretrain_batch_size"": 16, ""train_batch_size"": 32, ""eval_batch_size"": 64, ""lr"": 1e-05, ""lr_pre"": 5e-05, ""warmup_proportion"": 0.1, ""wait_patient"": 20, ""early_stopping_patience"": 5, ""early_stopping_min_delta"": 0.001, ""monitor_sum_metrics"": true, ""cluster_num_factor"": 1.0, ""embed_feat_dim"": 768, ""head_feat_dim"": 128, ""topk"": 50, ""rtr_prob"": 0.25, ""update_per_epoch"": 5, ""llm_model_name"": ""deepseek-v3:671b"", ""api_base"": ""https://uni-api.cstcloud.cn/v1"", ""comparison_cluster_ratio"": 0.5, ""student_t_freedom"": 1, ""uncertainty_neighbour_num"": 25, ""rho"": 0.1, ""save_results_path"": ""./results/gcd/alup"", ""log_dir"": ""./outputs/gcd/alup/finetune/hwu_0.25_0.1_fold2_2025/logs"", ""logger_name"": ""Discovery"", ""output_dir"": ""./outputs/gcd/alup/finetune/hwu_0.25_0.1_fold2_2025"", ""result_dir"": ""./outputs/gcd/alup/finetune/hwu_0.25_0.1_fold2_2025"", ""results_file_name"": ""results.csv"", ""model_file_name"": ""model"", ""num_labels"": 64}"
ALUP,stackoverflow,0.5,0.1,1.0,2025,84.26,84.15,87.31,81.21,68.21,76.72,"{""config"": ""configs/gcd/alup.yaml"", ""dataset"": ""stackoverflow"", ""known_cls_ratio"": 0.5, ""labeled_ratio"": 0.1, ""seed"": 2025, ""fold_num"": 5, ""fold_idx"": 0, ""gpu_id"": 0, ""max_seq_length"": 45, ""method"": ""ALUP"", ""data_dir"": ""./data"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""output_base_dir"": ""./outputs/gcd/alup"", ""output_subdir"": ""finetune/stackoverflow_0.5_0.1_fold0_2025"", ""pretrained_stage1_subdir"": ""pretrain/stackoverflow_0.5_0.1_fold0_2025"", ""do_pretrain_and_contrastive"": false, ""do_al_finetune"": true, ""finish_pretrain"": false, ""save_results"": true, ""num_train_epochs"": 50, ""num_pretrain_epochs"": 100, ""pretrain_batch_size"": 16, ""train_batch_size"": 32, ""eval_batch_size"": 64, ""lr"": 1e-05, ""lr_pre"": 5e-05, ""warmup_proportion"": 0.1, ""wait_patient"": 20, ""early_stopping_patience"": 5, ""early_stopping_min_delta"": 0.001, ""monitor_sum_metrics"": true, ""cluster_num_factor"": 1.0, ""embed_feat_dim"": 768, ""head_feat_dim"": 128, ""topk"": 50, ""rtr_prob"": 0.25, ""update_per_epoch"": 5, ""llm_model_name"": ""deepseek-v3:671b"", ""api_base"": ""https://uni-api.cstcloud.cn/v1"", ""comparison_cluster_ratio"": 0.5, ""student_t_freedom"": 1, ""uncertainty_neighbour_num"": 25, ""rho"": 0.1, ""save_results_path"": ""./results/gcd/alup"", ""log_dir"": ""./outputs/gcd/alup/finetune/stackoverflow_0.5_0.1_fold0_2025/logs"", ""logger_name"": ""Discovery"", ""output_dir"": ""./outputs/gcd/alup/finetune/stackoverflow_0.5_0.1_fold0_2025"", ""result_dir"": ""./outputs/gcd/alup/finetune/stackoverflow_0.5_0.1_fold0_2025"", ""results_file_name"": ""results.csv"", ""model_file_name"": ""model"", ""num_labels"": 20}"
ALUP,stackoverflow,0.5,0.1,1.0,2025,81.07,80.36,88.66,73.48,70.19,77.38,"{""config"": ""configs/gcd/alup.yaml"", ""dataset"": ""stackoverflow"", ""known_cls_ratio"": 0.5, ""labeled_ratio"": 0.1, ""seed"": 2025, ""fold_num"": 5, ""fold_idx"": 3, ""gpu_id"": 0, ""max_seq_length"": 45, ""method"": ""ALUP"", ""data_dir"": ""./data"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""output_base_dir"": ""./outputs/gcd/alup"", ""output_subdir"": ""finetune/stackoverflow_0.5_0.1_fold3_2025"", ""pretrained_stage1_subdir"": ""pretrain/stackoverflow_0.5_0.1_fold3_2025"", ""do_pretrain_and_contrastive"": false, ""do_al_finetune"": true, ""finish_pretrain"": false, ""save_results"": true, ""num_train_epochs"": 50, ""num_pretrain_epochs"": 100, ""pretrain_batch_size"": 16, ""train_batch_size"": 32, ""eval_batch_size"": 64, ""lr"": 1e-05, ""lr_pre"": 5e-05, ""warmup_proportion"": 0.1, ""wait_patient"": 20, ""early_stopping_patience"": 5, ""early_stopping_min_delta"": 0.001, ""monitor_sum_metrics"": true, ""cluster_num_factor"": 1.0, ""embed_feat_dim"": 768, ""head_feat_dim"": 128, ""topk"": 50, ""rtr_prob"": 0.25, ""update_per_epoch"": 5, ""llm_model_name"": ""deepseek-v3:671b"", ""api_base"": ""https://uni-api.cstcloud.cn/v1"", ""comparison_cluster_ratio"": 0.5, ""student_t_freedom"": 1, ""uncertainty_neighbour_num"": 25, ""rho"": 0.1, ""save_results_path"": ""./results/gcd/alup"", ""log_dir"": ""./outputs/gcd/alup/finetune/stackoverflow_0.5_0.1_fold3_2025/logs"", ""logger_name"": ""Discovery"", ""output_dir"": ""./outputs/gcd/alup/finetune/stackoverflow_0.5_0.1_fold3_2025"", ""result_dir"": ""./outputs/gcd/alup/finetune/stackoverflow_0.5_0.1_fold3_2025"", ""results_file_name"": ""results.csv"", ""model_file_name"": ""model"", ""num_labels"": 20}"
ALUP,clinc,0.5,0.1,1.0,2025,87.96,87.74,92.36,83.56,82.36,94.83,"{""config"": ""configs/gcd/alup.yaml"", ""dataset"": ""clinc"", ""known_cls_ratio"": 0.5, ""labeled_ratio"": 0.1, ""seed"": 2025, ""fold_num"": 5, ""fold_idx"": 2, ""gpu_id"": 0, ""max_seq_length"": 30, ""method"": ""ALUP"", ""data_dir"": ""./data"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""output_base_dir"": ""./outputs/gcd/alup"", ""output_subdir"": ""finetune/clinc_0.5_0.1_fold2_2025"", ""pretrained_stage1_subdir"": ""pretrain/clinc_0.5_0.1_fold2_2025"", ""do_pretrain_and_contrastive"": false, ""do_al_finetune"": true, ""finish_pretrain"": false, ""save_results"": true, ""num_train_epochs"": 50, ""num_pretrain_epochs"": 100, ""pretrain_batch_size"": 16, ""train_batch_size"": 32, ""eval_batch_size"": 64, ""lr"": 1e-05, ""lr_pre"": 5e-05, ""warmup_proportion"": 0.1, ""wait_patient"": 20, ""early_stopping_patience"": 5, ""early_stopping_min_delta"": 0.001, ""monitor_sum_metrics"": true, ""cluster_num_factor"": 1.0, ""embed_feat_dim"": 768, ""head_feat_dim"": 128, ""topk"": 50, ""rtr_prob"": 0.25, ""update_per_epoch"": 5, ""llm_model_name"": ""deepseek-v3:671b"", ""api_base"": ""https://uni-api.cstcloud.cn/v1"", ""comparison_cluster_ratio"": 0.5, ""student_t_freedom"": 1, ""uncertainty_neighbour_num"": 25, ""rho"": 0.1, ""save_results_path"": ""./results/gcd/alup"", ""log_dir"": ""./outputs/gcd/alup/finetune/clinc_0.5_0.1_fold2_2025/logs"", ""logger_name"": ""Discovery"", ""output_dir"": ""./outputs/gcd/alup/finetune/clinc_0.5_0.1_fold2_2025"", ""result_dir"": ""./outputs/gcd/alup/finetune/clinc_0.5_0.1_fold2_2025"", ""results_file_name"": ""results.csv"", ""model_file_name"": ""model"", ""num_labels"": 150}"
ALUP,clinc,0.75,0.1,1.0,2025,90.67,85.52,95.06,77.72,86.51,96.17,"{""config"": ""configs/gcd/alup.yaml"", ""dataset"": ""clinc"", ""known_cls_ratio"": 0.75, ""labeled_ratio"": 0.1, ""seed"": 2025, ""fold_num"": 5, ""fold_idx"": 0, ""gpu_id"": 0, ""max_seq_length"": 30, ""method"": ""ALUP"", ""data_dir"": ""./data"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""output_base_dir"": ""./outputs/gcd/alup"", ""output_subdir"": ""finetune/clinc_0.75_0.1_fold0_2025"", ""pretrained_stage1_subdir"": ""pretrain/clinc_0.75_0.1_fold0_2025"", ""do_pretrain_and_contrastive"": false, ""do_al_finetune"": true, ""finish_pretrain"": false, ""save_results"": true, ""num_train_epochs"": 50, ""num_pretrain_epochs"": 100, ""pretrain_batch_size"": 16, ""train_batch_size"": 32, ""eval_batch_size"": 64, ""lr"": 1e-05, ""lr_pre"": 5e-05, ""warmup_proportion"": 0.1, ""wait_patient"": 20, ""early_stopping_patience"": 5, ""early_stopping_min_delta"": 0.001, ""monitor_sum_metrics"": true, ""cluster_num_factor"": 1.0, ""embed_feat_dim"": 768, ""head_feat_dim"": 128, ""topk"": 50, ""rtr_prob"": 0.25, ""update_per_epoch"": 5, ""llm_model_name"": ""deepseek-v3:671b"", ""api_base"": ""https://uni-api.cstcloud.cn/v1"", ""comparison_cluster_ratio"": 0.5, ""student_t_freedom"": 1, ""uncertainty_neighbour_num"": 25, ""rho"": 0.1, ""save_results_path"": ""./results/gcd/alup"", ""log_dir"": ""./outputs/gcd/alup/finetune/clinc_0.75_0.1_fold0_2025/logs"", ""logger_name"": ""Discovery"", ""output_dir"": ""./outputs/gcd/alup/finetune/clinc_0.75_0.1_fold0_2025"", ""result_dir"": ""./outputs/gcd/alup/finetune/clinc_0.75_0.1_fold0_2025"", ""results_file_name"": ""results.csv"", ""model_file_name"": ""model"", ""num_labels"": 150}"
