method,dataset,known_cls_ratio,labeled_ratio,cluster_num_factor,seed,ACC,LLM_OOD_Accuracy,F1,K-F1,N-F1,args
ADB,TREC,0.25,0.1,1.0,666,63.67,0.5693877551020409,46.9013,47.6913,38.2114,"{""config"": ""configs/openset/adb-llm.yaml"", ""output_dir"": ""outputs/openset/ADB-LLM/TREC_0.1_0.25_fold_5_0_666"", ""data_dir"": ""./data"", ""save_results_path"": ""results/openset/adb-llm"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""fold_type"": ""fold"", ""max_seq_length"": 512, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""save_results"": false, ""dataset"": ""TREC"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""method"": null, ""seed"": 666, ""gpu_id"": ""1"", ""lr"": 2e-05, ""cluster_num_factor"": 1.0, ""num_train_epochs"": 50.0, ""train_batch_size"": 128, ""eval_batch_size"": 128, ""wait_patient"": 10, ""lr_boundary"": 0.05, ""fold_idx"": 0, ""fold_num"": 5, ""llm_ood"": true, ""llm_api_base"": ""https://uni-api.cstcloud.cn/v1"", ""llm_model"": ""deepseek-v3:671b"", ""llm_api_key_env"": ""OPENAI_API_KEY"", ""llm_batch"": 4, ""llm_temperature"": 0.0, ""llm_cache"": ""llm_cache.jsonl"", ""llm_api_key"": ""6c5c96209c4ef126a87fbe9840fab7c346b4c6fb6a57529fce7dea01c683fd1b"", ""pretrain_dir"": ""outputs/openset/ADB-LLM/TREC_0.1_0.25_fold_5_0_666/models""}"
ADB,TREC,0.5,0.1,1.0,666,64.08,0.7775510204081633,43.5293,43.4255,45.9184,"{""config"": ""configs/openset/adb-llm.yaml"", ""output_dir"": ""outputs/openset/ADB-LLM/TREC_0.1_0.5_fold_5_0_666"", ""data_dir"": ""./data"", ""save_results_path"": ""results/openset/adb-llm"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""fold_type"": ""fold"", ""max_seq_length"": 512, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""save_results"": false, ""dataset"": ""TREC"", ""known_cls_ratio"": 0.5, ""labeled_ratio"": 0.1, ""method"": null, ""seed"": 666, ""gpu_id"": ""2"", ""lr"": 2e-05, ""cluster_num_factor"": 1.0, ""num_train_epochs"": 50.0, ""train_batch_size"": 128, ""eval_batch_size"": 128, ""wait_patient"": 10, ""lr_boundary"": 0.05, ""fold_idx"": 0, ""fold_num"": 5, ""llm_ood"": true, ""llm_api_base"": ""https://uni-api.cstcloud.cn/v1"", ""llm_model"": ""deepseek-v3:671b"", ""llm_api_key_env"": ""OPENAI_API_KEY"", ""llm_batch"": 4, ""llm_temperature"": 0.0, ""llm_cache"": ""llm_cache.jsonl"", ""llm_api_key"": ""6c5c96209c4ef126a87fbe9840fab7c346b4c6fb6a57529fce7dea01c683fd1b"", ""pretrain_dir"": ""outputs/openset/ADB-LLM/TREC_0.1_0.5_fold_5_0_666/models""}"
ADB,TREC,0.75,0.1,1.0,666,61.22,0.8775510204081632,36.8283,37.0204,30.4878,"{""config"": ""configs/openset/adb-llm.yaml"", ""output_dir"": ""outputs/openset/ADB-LLM/TREC_0.1_0.75_fold_5_0_666"", ""data_dir"": ""./data"", ""save_results_path"": ""results/openset/adb-llm"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""fold_type"": ""fold"", ""max_seq_length"": 512, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""save_results"": false, ""dataset"": ""TREC"", ""known_cls_ratio"": 0.75, ""labeled_ratio"": 0.1, ""method"": null, ""seed"": 666, ""gpu_id"": ""3"", ""lr"": 2e-05, ""cluster_num_factor"": 1.0, ""num_train_epochs"": 50.0, ""train_batch_size"": 128, ""eval_batch_size"": 128, ""wait_patient"": 10, ""lr_boundary"": 0.05, ""fold_idx"": 0, ""fold_num"": 5, ""llm_ood"": true, ""llm_api_base"": ""https://uni-api.cstcloud.cn/v1"", ""llm_model"": ""deepseek-v3:671b"", ""llm_api_key_env"": ""OPENAI_API_KEY"", ""llm_batch"": 4, ""llm_temperature"": 0.0, ""llm_cache"": ""llm_cache.jsonl"", ""llm_api_key"": ""6c5c96209c4ef126a87fbe9840fab7c346b4c6fb6a57529fce7dea01c683fd1b"", ""pretrain_dir"": ""outputs/openset/ADB-LLM/TREC_0.1_0.75_fold_5_0_666/models""}"
ADB,TREC,0.25,0.5,1.0,666,78.78,0.536734693877551,80.493,82.0441,64.9819,"{""config"": ""configs/openset/adb-llm.yaml"", ""output_dir"": ""outputs/openset/ADB-LLM/TREC_0.5_0.25_fold_5_0_666"", ""data_dir"": ""./data"", ""save_results_path"": ""results/openset/adb-llm"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""fold_type"": ""fold"", ""max_seq_length"": 512, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""save_results"": false, ""dataset"": ""TREC"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.5, ""method"": null, ""seed"": 666, ""gpu_id"": ""4"", ""lr"": 2e-05, ""cluster_num_factor"": 1.0, ""num_train_epochs"": 50.0, ""train_batch_size"": 128, ""eval_batch_size"": 128, ""wait_patient"": 10, ""lr_boundary"": 0.05, ""fold_idx"": 0, ""fold_num"": 5, ""llm_ood"": true, ""llm_api_base"": ""https://uni-api.cstcloud.cn/v1"", ""llm_model"": ""deepseek-v3:671b"", ""llm_api_key_env"": ""OPENAI_API_KEY"", ""llm_batch"": 4, ""llm_temperature"": 0.0, ""llm_cache"": ""llm_cache.jsonl"", ""llm_api_key"": ""6c5c96209c4ef126a87fbe9840fab7c346b4c6fb6a57529fce7dea01c683fd1b"", ""pretrain_dir"": ""outputs/openset/ADB-LLM/TREC_0.5_0.25_fold_5_0_666/models""}"
ADB,TREC,0.5,0.5,1.0,666,81.43,0.8081632653061225,78.4843,79.3616,59.1837,"{""config"": ""configs/openset/adb-llm.yaml"", ""output_dir"": ""outputs/openset/ADB-LLM/TREC_0.5_0.5_fold_5_0_666"", ""data_dir"": ""./data"", ""save_results_path"": ""results/openset/adb-llm"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""fold_type"": ""fold"", ""max_seq_length"": 512, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""save_results"": false, ""dataset"": ""TREC"", ""known_cls_ratio"": 0.5, ""labeled_ratio"": 0.5, ""method"": null, ""seed"": 666, ""gpu_id"": ""1"", ""lr"": 2e-05, ""cluster_num_factor"": 1.0, ""num_train_epochs"": 50.0, ""train_batch_size"": 128, ""eval_batch_size"": 128, ""wait_patient"": 10, ""lr_boundary"": 0.05, ""fold_idx"": 0, ""fold_num"": 5, ""llm_ood"": true, ""llm_api_base"": ""https://uni-api.cstcloud.cn/v1"", ""llm_model"": ""deepseek-v3:671b"", ""llm_api_key_env"": ""OPENAI_API_KEY"", ""llm_batch"": 4, ""llm_temperature"": 0.0, ""llm_cache"": ""llm_cache.jsonl"", ""llm_api_key"": ""6c5c96209c4ef126a87fbe9840fab7c346b4c6fb6a57529fce7dea01c683fd1b"", ""pretrain_dir"": ""outputs/openset/ADB-LLM/TREC_0.5_0.5_fold_5_0_666/models""}"
ADB,TREC,0.25,1.0,1.0,666,81.22,0.573469387755102,85.1264,86.716,69.2308,"{""config"": ""configs/openset/adb-llm.yaml"", ""output_dir"": ""outputs/openset/ADB-LLM/TREC_1.0_0.25_fold_5_0_666"", ""data_dir"": ""./data"", ""save_results_path"": ""results/openset/adb-llm"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""fold_type"": ""fold"", ""max_seq_length"": 512, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""save_results"": false, ""dataset"": ""TREC"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 1.0, ""method"": null, ""seed"": 666, ""gpu_id"": ""3"", ""lr"": 2e-05, ""cluster_num_factor"": 1.0, ""num_train_epochs"": 50.0, ""train_batch_size"": 128, ""eval_batch_size"": 128, ""wait_patient"": 10, ""lr_boundary"": 0.05, ""fold_idx"": 0, ""fold_num"": 5, ""llm_ood"": true, ""llm_api_base"": ""https://uni-api.cstcloud.cn/v1"", ""llm_model"": ""deepseek-v3:671b"", ""llm_api_key_env"": ""OPENAI_API_KEY"", ""llm_batch"": 4, ""llm_temperature"": 0.0, ""llm_cache"": ""llm_cache.jsonl"", ""llm_api_key"": ""6c5c96209c4ef126a87fbe9840fab7c346b4c6fb6a57529fce7dea01c683fd1b"", ""pretrain_dir"": ""outputs/openset/ADB-LLM/TREC_1.0_0.25_fold_5_0_666/models""}"
ADB,TREC,0.75,0.5,1.0,666,80.2,0.8816326530612245,77.6836,78.8612,40.0,"{""config"": ""configs/openset/adb-llm.yaml"", ""output_dir"": ""outputs/openset/ADB-LLM/TREC_0.5_0.75_fold_5_0_666"", ""data_dir"": ""./data"", ""save_results_path"": ""results/openset/adb-llm"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""fold_type"": ""fold"", ""max_seq_length"": 512, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""save_results"": false, ""dataset"": ""TREC"", ""known_cls_ratio"": 0.75, ""labeled_ratio"": 0.5, ""method"": null, ""seed"": 666, ""gpu_id"": ""2"", ""lr"": 2e-05, ""cluster_num_factor"": 1.0, ""num_train_epochs"": 50.0, ""train_batch_size"": 128, ""eval_batch_size"": 128, ""wait_patient"": 10, ""lr_boundary"": 0.05, ""fold_idx"": 0, ""fold_num"": 5, ""llm_ood"": true, ""llm_api_base"": ""https://uni-api.cstcloud.cn/v1"", ""llm_model"": ""deepseek-v3:671b"", ""llm_api_key_env"": ""OPENAI_API_KEY"", ""llm_batch"": 4, ""llm_temperature"": 0.0, ""llm_cache"": ""llm_cache.jsonl"", ""llm_api_key"": ""6c5c96209c4ef126a87fbe9840fab7c346b4c6fb6a57529fce7dea01c683fd1b"", ""pretrain_dir"": ""outputs/openset/ADB-LLM/TREC_0.5_0.75_fold_5_0_666/models""}"
ADB,TREC,0.5,1.0,1.0,666,82.45,0.7979591836734694,78.8045,79.7071,58.9474,"{""config"": ""configs/openset/adb-llm.yaml"", ""output_dir"": ""outputs/openset/ADB-LLM/TREC_1.0_0.5_fold_5_0_666"", ""data_dir"": ""./data"", ""save_results_path"": ""results/openset/adb-llm"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""fold_type"": ""fold"", ""max_seq_length"": 512, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""save_results"": false, ""dataset"": ""TREC"", ""known_cls_ratio"": 0.5, ""labeled_ratio"": 1.0, ""method"": null, ""seed"": 666, ""gpu_id"": ""4"", ""lr"": 2e-05, ""cluster_num_factor"": 1.0, ""num_train_epochs"": 50.0, ""train_batch_size"": 128, ""eval_batch_size"": 128, ""wait_patient"": 10, ""lr_boundary"": 0.05, ""fold_idx"": 0, ""fold_num"": 5, ""llm_ood"": true, ""llm_api_base"": ""https://uni-api.cstcloud.cn/v1"", ""llm_model"": ""deepseek-v3:671b"", ""llm_api_key_env"": ""OPENAI_API_KEY"", ""llm_batch"": 4, ""llm_temperature"": 0.0, ""llm_cache"": ""llm_cache.jsonl"", ""llm_api_key"": ""6c5c96209c4ef126a87fbe9840fab7c346b4c6fb6a57529fce7dea01c683fd1b"", ""pretrain_dir"": ""outputs/openset/ADB-LLM/TREC_1.0_0.5_fold_5_0_666/models""}"
ADB,TREC,0.75,1.0,1.0,666,82.45,0.8857142857142857,76.7093,77.7919,40.9836,"{""config"": ""configs/openset/adb-llm.yaml"", ""output_dir"": ""outputs/openset/ADB-LLM/TREC_1.0_0.75_fold_5_0_666"", ""data_dir"": ""./data"", ""save_results_path"": ""results/openset/adb-llm"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""fold_type"": ""fold"", ""max_seq_length"": 512, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""save_results"": false, ""dataset"": ""TREC"", ""known_cls_ratio"": 0.75, ""labeled_ratio"": 1.0, ""method"": null, ""seed"": 666, ""gpu_id"": ""1"", ""lr"": 2e-05, ""cluster_num_factor"": 1.0, ""num_train_epochs"": 50.0, ""train_batch_size"": 128, ""eval_batch_size"": 128, ""wait_patient"": 10, ""lr_boundary"": 0.05, ""fold_idx"": 0, ""fold_num"": 5, ""llm_ood"": true, ""llm_api_base"": ""https://uni-api.cstcloud.cn/v1"", ""llm_model"": ""deepseek-v3:671b"", ""llm_api_key_env"": ""OPENAI_API_KEY"", ""llm_batch"": 4, ""llm_temperature"": 0.0, ""llm_cache"": ""llm_cache.jsonl"", ""llm_api_key"": ""6c5c96209c4ef126a87fbe9840fab7c346b4c6fb6a57529fce7dea01c683fd1b"", ""pretrain_dir"": ""outputs/openset/ADB-LLM/TREC_1.0_0.75_fold_5_0_666/models""}"
ADB,TREC,0.75,0.5,1.0,666,80.2,0.8755102040816326,77.6836,78.8612,40.0,"{""config"": ""configs/openset/adb-llm.yaml"", ""output_dir"": ""outputs/openset/ADB-LLM/TREC_0.5_0.75_fold_5_0_666"", ""data_dir"": ""./data"", ""save_results_path"": ""results/openset/adb-llm"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""fold_type"": ""fold"", ""max_seq_length"": 512, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""save_results"": false, ""dataset"": ""TREC"", ""known_cls_ratio"": 0.75, ""labeled_ratio"": 0.5, ""method"": null, ""seed"": 666, ""gpu_id"": ""1"", ""lr"": 2e-05, ""cluster_num_factor"": 1.0, ""num_train_epochs"": 50.0, ""train_batch_size"": 128, ""eval_batch_size"": 128, ""wait_patient"": 10, ""lr_boundary"": 0.05, ""fold_idx"": 0, ""fold_num"": 5, ""llm_ood"": true, ""llm_api_base"": ""https://uni-api.cstcloud.cn/v1"", ""llm_model"": ""deepseek-v3:671b"", ""llm_api_key_env"": ""OPENAI_API_KEY"", ""llm_batch"": 4, ""llm_temperature"": 0.0, ""llm_cache"": ""llm_cache.jsonl"", ""llm_api_key"": ""6c5c96209c4ef126a87fbe9840fab7c346b4c6fb6a57529fce7dea01c683fd1b"", ""pretrain_dir"": ""outputs/openset/ADB-LLM/TREC_0.5_0.75_fold_5_0_666/models""}"
