method,dataset,known_cls_ratio,labeled_ratio,cluster_num_factor,seed,K,ACC,H-Score,K-ACC,N-ACC,ARI,NMI,args
bias,stackoverflow,0.25,0.1,1.0,2025,0,12.47,11.9,26.93,7.64,2.37,10.62,"{""dataset"": ""stackoverflow"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""data_dir"": ""./data"", ""save_results_path"": ""./results/gcd/sdc"", ""pretrain_dir"": ""outputs/gcd/sdc/premodels/stackoverflow_0.25_0.1_fold0_seed2025"", ""train_dir"": ""outputs/gcd/sdc/models/stackoverflow_0.25_0.1_fold0_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 65, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""save_results"": false, ""freeze_bert_parameters"": false, ""save_model"": true, ""pretrain"": false, ""beta"": 0.05, ""seed"": 2025, ""rtr_prob"": 0.25, ""labeled_ratio"": 0.1, ""gpu_id"": ""3"", ""train_batch_size"": 32, ""pretrain_batch_size"": 32, ""eval_batch_size"": 32, ""pre_wait_patient"": 20, ""num_pretrain_epochs"": 1.0, ""num_train_epochs"": 1.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""num_iters_sk"": 3, ""epsilon_sk"": 0.05, ""imb_factor"": 1, ""fold_num"": 5, ""fold_idx"": 0, ""es_patience"": 10, ""es_min_delta"": 0.0, ""es_metric"": ""eval_acc"", ""config"": ""configs/gcd/sdc.yaml"", ""model_file_dir"": ""outputs/gcd/sdc/models/stackoverflow_0.25_0.1_fold0_seed2025"", ""model_file"": ""outputs/gcd/sdc/models/stackoverflow_0.25_0.1_fold0_seed2025/premodel.pth"", ""method"": ""bias""}"
CLNN,stackoverflow,0.25,0.1,1.0,2025,0,10.93,11.19,11.8,10.64,1.44,5.96,"{""data_dir"": ""data"", ""api_key"": ""YOUR_API_KEY"", ""api_base"": ""https://uni-api.cstcloud.cn/v1"", ""llm_model_name"": ""deepseek-v3:671b"", ""save_results_path"": ""results/gcd/loop"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 45, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""gpu_id"": ""1"", ""save_premodel"": true, ""save_model"": true, ""disable_pretrain"": false, ""save_model_path"": ""outputs/gcd/loop/model_stackoverflow_0.25_0.1_fold0_seed2025"", ""dataset"": ""stackoverflow"", ""known_cls_ratio"": 0.25, ""seed"": 2025, ""method"": ""CLNN"", ""labeled_ratio"": 0.1, ""rtr_prob"": 0.25, ""pretrain_batch_size"": 64, ""train_batch_size"": 64, ""eval_batch_size"": 128, ""wait_patient"": 20, ""num_pretrain_epochs"": 1.0, ""num_train_epochs"": 1.0, ""lr_pre"": 5e-05, ""lr"": 1e-05, ""temp"": 0.07, ""view_strategy"": ""rtr"", ""update_per_epoch"": 5, ""report_pretrain"": false, ""topk"": 500, ""grad_clip"": 1, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs"", ""pretrain_dir"": ""outputs/gcd/loop/premodel_stackoverflow_0.25_0.1_fold0_seed2025/premodel_stackoverflow_0.25_2025"", ""es_metric"": ""NMI"", ""es_patience"": 5, ""es_min_delta"": 0.1, ""config"": ""configs/gcd/loop.yaml"", ""cluster_num_factor"": 1, ""num_labeled_examples"": 300}"
DeepAligned,stackoverflow,0.25,0.1,1.0,2025,0,15.16,13.83,12.07,16.19,3.61,10.01,"{""data_dir"": ""data"", ""save_results_path"": ""results/gcd/deepaligned"", ""pretrain_dir"": ""outputs/gcd/deepaligned/premodels"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 45, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""stackoverflow"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""method"": ""DeepAligned"", ""labeled_ratio"": 0.1, ""gpu_id"": ""1"", ""train_batch_size"": 128, ""eval_batch_size"": 64, ""wait_patient"": 20, ""num_pretrain_epochs"": 1.0, ""num_train_epochs"": 1.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""fold_num"": 5, ""fold_idx"": 0, ""config"": ""configs/gcd/deepaligned.yaml""}"
CLNN,stackoverflow,0.25,0.1,1.0,2025,0,13.04,12.63,11.93,13.4,2.5,8.03,"{""data_dir"": ""data"", ""cluster_num_factor"": 1.0, ""save_results_path"": ""results/gcd/geoid"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""cluster_temperature"": 1.0, ""feat_dim"": 128, ""warmup_proportion"": 0.2, ""save_model_path"": ""outputs/gcd/geoid/models"", ""dataset"": ""stackoverflow"", ""known_cls_ratio"": 0.25, ""seed"": 2025, ""method"": ""CLNN"", ""labeled_ratio"": 0.1, ""rtr_prob"": 0.25, ""pretrain_batch_size"": 100, ""train_batch_size"": 128, ""eval_batch_size"": 128, ""wait_patient"": 20, ""num_pretrain_epochs"": 1.0, ""num_train_epochs"": 1.0, ""num_warm_epochs"": 20.0, ""lr_pre"": 5e-05, ""lr"": 0.001, ""lambda_v"": 3.0, ""temp"": 0.07, ""view_strategy"": ""rtr"", ""update_per_epoch"": 5, ""report_pretrain"": true, ""topk"": 64, ""grad_clip"": 1.0, ""fold_num"": 5, ""fold_idx"": 0, ""max_seq_length"": 45, ""es_metric"": ""ACC"", ""es_patience"": 10, ""es_min_delta"": 0.0, ""config"": ""configs/gcd/geoid.yaml"", ""disable_pretrain"": false}"
ALUP,stackoverflow,0.25,0.1,1.0,2025,0,10.5,10.57,10.73,10.42,1.25,4.75,"{""config"": ""configs/gcd/alup.yaml"", ""dataset"": ""stackoverflow"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""seed"": 2025, ""fold_num"": 5, ""fold_idx"": 0, ""gpu_id"": 0, ""max_seq_length"": 45, ""method"": ""ALUP"", ""data_dir"": ""./data"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""output_base_dir"": ""./outputs/gcd/alup"", ""output_subdir"": ""finetune/stackoverflow_0.25_0.1_fold0_2025"", ""pretrained_stage1_subdir"": ""pretrain/stackoverflow_0.25_0.1_fold0_2025"", ""do_pretrain_and_contrastive"": false, ""do_al_finetune"": true, ""finish_pretrain"": false, ""save_results"": true, ""num_train_epochs"": 1, ""num_pretrain_epochs"": 1, ""pretrain_batch_size"": 16, ""train_batch_size"": 32, ""eval_batch_size"": 64, ""lr"": 1e-05, ""lr_pre"": 5e-05, ""warmup_proportion"": 0.1, ""wait_patient"": 20, ""early_stopping_patience"": 5, ""early_stopping_min_delta"": 0.001, ""monitor_sum_metrics"": true, ""cluster_num_factor"": 1.0, ""embed_feat_dim"": 768, ""head_feat_dim"": 128, ""topk"": 50, ""rtr_prob"": 0.25, ""update_per_epoch"": 5, ""llm_model_name"": ""deepseek-v3:671b"", ""api_base"": ""https://uni-api.cstcloud.cn/v1"", ""comparison_cluster_ratio"": 0.5, ""student_t_freedom"": 1, ""uncertainty_neighbour_num"": 25, ""rho"": 0.1, ""save_results_path"": ""./results/gcd/alup"", ""log_dir"": ""./outputs/gcd/alup/finetune/stackoverflow_0.25_0.1_fold0_2025/logs"", ""logger_name"": ""Discovery"", ""output_dir"": ""./outputs/gcd/alup/finetune/stackoverflow_0.25_0.1_fold0_2025"", ""result_dir"": ""./outputs/gcd/alup/finetune/stackoverflow_0.25_0.1_fold0_2025"", ""results_file_name"": ""results.csv"", ""model_file_name"": ""model"", ""num_labels"": 20}"
DPN,stackoverflow,0.25,0.1,1.0,2025,0,27.24,18.41,77.53,10.44,14.3,23.46,"{""data_dir"": ""data"", ""pretrain_dir"": ""outputs/gcd/dpn/premodels"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 45, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""stackoverflow"", ""momentum_factor"": 0.9, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""2"", ""train_batch_size"": 256, ""pretrain_batch_size"": 32, ""eval_batch_size"": 64, ""wait_patient"": 20, ""num_pretrain_epochs"": 1.0, ""num_train_epochs"": 1.0, ""lr_pre"": 5e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""gamma"": 90.0, ""save_results_path"": ""results/gcd/dpn"", ""method"": ""DPN"", ""config"": ""configs/gcd/dpn.yaml""}"
TAN,stackoverflow,0.25,0.1,1.0,2025,0,32.62,29.44,75.53,18.28,17.63,27.77,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_stackoverflow_0.25_0.1_fold0_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 45, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""stackoverflow"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""0"", ""train_batch_size"": 256, ""pretrain_batch_size"": 32, ""eval_batch_size"": 64, ""wait_patient"": 20, ""num_pretrain_epochs"": 1.0, ""num_train_epochs"": 1.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
DeepAligned,stackoverflow,0.25,0.1,1.0,2025,20,15.06,16.11,20.83,13.13,3.4,10.45,"{""data_dir"": ""data"", ""save_results_path"": ""results/gcd/deepaligned"", ""pretrain_dir"": ""outputs/gcd/deepaligned/premodels"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 45, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""stackoverflow"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""method"": ""DeepAligned"", ""labeled_ratio"": 0.1, ""gpu_id"": ""3"", ""train_batch_size"": 128, ""eval_batch_size"": 64, ""wait_patient"": 20, ""num_pretrain_epochs"": 1.0, ""num_train_epochs"": 1.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""fold_num"": 5, ""fold_idx"": 1, ""config"": ""configs/gcd/deepaligned.yaml""}"
CLNN,stackoverflow,0.25,0.1,1.0,2025,0,13.35,14.31,19.56,11.28,3.01,9.44,"{""data_dir"": ""data"", ""cluster_num_factor"": 1.0, ""save_results_path"": ""results/gcd/geoid"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""cluster_temperature"": 1.0, ""feat_dim"": 128, ""warmup_proportion"": 0.2, ""save_model_path"": ""outputs/gcd/geoid/models"", ""dataset"": ""stackoverflow"", ""known_cls_ratio"": 0.25, ""seed"": 2025, ""method"": ""CLNN"", ""labeled_ratio"": 0.1, ""rtr_prob"": 0.25, ""pretrain_batch_size"": 100, ""train_batch_size"": 128, ""eval_batch_size"": 128, ""wait_patient"": 20, ""num_pretrain_epochs"": 1.0, ""num_train_epochs"": 1.0, ""num_warm_epochs"": 20.0, ""lr_pre"": 5e-05, ""lr"": 0.001, ""lambda_v"": 3.0, ""temp"": 0.07, ""view_strategy"": ""rtr"", ""update_per_epoch"": 5, ""report_pretrain"": true, ""topk"": 64, ""grad_clip"": 1.0, ""fold_num"": 5, ""fold_idx"": 1, ""max_seq_length"": 45, ""es_metric"": ""ACC"", ""es_patience"": 10, ""es_min_delta"": 0.0, ""config"": ""configs/gcd/geoid.yaml"", ""disable_pretrain"": false}"
DPN,stackoverflow,0.25,0.1,1.0,2025,20,33.13,27.3,83.58,16.31,18.81,27.65,"{""data_dir"": ""data"", ""pretrain_dir"": ""outputs/gcd/dpn/premodels"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 45, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""stackoverflow"", ""momentum_factor"": 0.9, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""0"", ""train_batch_size"": 256, ""pretrain_batch_size"": 32, ""eval_batch_size"": 64, ""wait_patient"": 20, ""num_pretrain_epochs"": 1.0, ""num_train_epochs"": 1.0, ""lr_pre"": 5e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 1, ""gamma"": 90.0, ""save_results_path"": ""results/gcd/dpn"", ""method"": ""DPN"", ""config"": ""configs/gcd/dpn.yaml""}"
