method,dataset,known_cls_ratio,labeled_ratio,cluster_num_factor,seed,K,ACC,H-Score,K-ACC,N-ACC,ARI,NMI,args
bias,banking,0.25,0.1,1.0,2025.0,40.49,37.86,34.08,42.59,27.1,65.54,"{""dataset"": ""banking"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""data_dir"": ""./data"", ""save_results_path"": ""./results/gcd/sdc"", ""pretrain_dir"": ""outputs/gcd/sdc/premodels/banking_0.25_0.1_fold3_seed2025"", ""train_dir"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold3_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 65, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""save_results"": false, ""freeze_bert_parameters"": false, ""save_model"": true, ""pretrain"": false, ""beta"": 0.03, ""seed"": 2025, ""rtr_prob"": 0.25, ""labeled_ratio"": 0.1, ""gpu_id"": ""6"", ""train_batch_size"": 32, ""pretrain_batch_size"": 32, ""eval_batch_size"": 32, ""pre_wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""num_iters_sk"": 3, ""epsilon_sk"": 0.05, ""imb_factor"": 1, ""fold_num"": 5, ""fold_idx"": 3, ""es_patience"": 10, ""es_min_delta"": 0.0, ""es_metric"": ""eval_acc"", ""config"": ""configs/gcd/sdc.yaml"", ""model_file_dir"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold3_seed2025"", ""model_file"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold3_seed2025/premodel.pth"", ""method"": ""bias""}",0.0
bias,banking,0.25,0.1,1.0,2025.0,39.61,38.44,84.61,24.87,26.05,66.11,"{""dataset"": ""banking"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""data_dir"": ""./data"", ""save_results_path"": ""./results/gcd/sdc"", ""pretrain_dir"": ""outputs/gcd/sdc/premodels/banking_0.25_0.1_fold0_seed2025"", ""train_dir"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold0_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 65, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""save_results"": false, ""freeze_bert_parameters"": false, ""save_model"": true, ""pretrain"": false, ""beta"": 0.03, ""seed"": 2025, ""rtr_prob"": 0.25, ""labeled_ratio"": 0.1, ""gpu_id"": ""6"", ""train_batch_size"": 32, ""pretrain_batch_size"": 32, ""eval_batch_size"": 32, ""pre_wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""num_iters_sk"": 3, ""epsilon_sk"": 0.05, ""imb_factor"": 1, ""fold_num"": 5, ""fold_idx"": 0, ""es_patience"": 10, ""es_min_delta"": 0.0, ""es_metric"": ""eval_acc"", ""config"": ""configs/gcd/sdc.yaml"", ""model_file_dir"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold0_seed2025"", ""model_file"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold0_seed2025/premodel.pth"", ""method"": ""bias""}",0.0
bias,banking,0.25,0.1,1.0,2025.0,37.86,36.07,33.29,39.35,27.25,66.96,"{""dataset"": ""banking"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""data_dir"": ""./data"", ""save_results_path"": ""./results/gcd/sdc"", ""pretrain_dir"": ""outputs/gcd/sdc/premodels/banking_0.25_0.1_fold1_seed2025"", ""train_dir"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold1_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 65, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""save_results"": false, ""freeze_bert_parameters"": false, ""save_model"": true, ""pretrain"": false, ""beta"": 0.03, ""seed"": 2025, ""rtr_prob"": 0.25, ""labeled_ratio"": 0.1, ""gpu_id"": ""6"", ""train_batch_size"": 32, ""pretrain_batch_size"": 32, ""eval_batch_size"": 32, ""pre_wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""num_iters_sk"": 3, ""epsilon_sk"": 0.05, ""imb_factor"": 1, ""fold_num"": 5, ""fold_idx"": 1, ""es_patience"": 10, ""es_min_delta"": 0.0, ""es_metric"": ""eval_acc"", ""config"": ""configs/gcd/sdc.yaml"", ""model_file_dir"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold1_seed2025"", ""model_file"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold1_seed2025/premodel.pth"", ""method"": ""bias""}",0.0
bias,banking,0.25,0.1,1.0,2025.0,43.18,29.95,21.32,50.34,31.55,68.56,"{""dataset"": ""banking"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""data_dir"": ""./data"", ""save_results_path"": ""./results/gcd/sdc"", ""pretrain_dir"": ""outputs/gcd/sdc/premodels/banking_0.25_0.1_fold2_seed2025"", ""train_dir"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold2_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 65, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""save_results"": false, ""freeze_bert_parameters"": false, ""save_model"": true, ""pretrain"": false, ""beta"": 0.03, ""seed"": 2025, ""rtr_prob"": 0.25, ""labeled_ratio"": 0.1, ""gpu_id"": ""6"", ""train_batch_size"": 32, ""pretrain_batch_size"": 32, ""eval_batch_size"": 32, ""pre_wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""num_iters_sk"": 3, ""epsilon_sk"": 0.05, ""imb_factor"": 1, ""fold_num"": 5, ""fold_idx"": 2, ""es_patience"": 10, ""es_min_delta"": 0.0, ""es_metric"": ""eval_acc"", ""config"": ""configs/gcd/sdc.yaml"", ""model_file_dir"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold2_seed2025"", ""model_file"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold2_seed2025/premodel.pth"", ""method"": ""bias""}",0.0
PLM_GCD-Meta-Llama-3.1-8B-Instruct,banking,0.25,0.1,1.0,2025.0,34.12,34.37,34.87,33.88,18.18,54.25,"{""config"": ""configs/gcd/plm_gcd.yaml"", ""dataset_name"": ""banking"", ""data_dir"": ""./data"", ""known_cls_ratio"": ""0.25"", ""num_pretrain_epochs"": ""100"", ""num_train_epochs"": ""50"", ""seed"": ""2025"", ""gpu_id"": ""5"", ""root"": ""data"", ""output_dir"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct"", ""save_results_path"": ""results/gcd/plm_gcd"", ""backbone"": ""Meta-Llama-3.1-8B-Instruct"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""lr"": ""0.001"", ""train_batch_size"": ""32"", ""eval_batch_size"": ""128"", ""labeled_ratio"": ""0.1"", ""fold_idx"": ""0"", ""fold_num"": ""5"", ""es_patience"": ""3"", ""es_min_delta"": ""0.0"", ""metric_for_best"": ""accuracy"", ""model_path"": ""./pretrained_models/Meta-Llama-3.1-8B-Instruct"", ""checkpoint_path"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct/checkpoints"", ""log_dir"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct/logs"", ""case_path"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct/case_study"", ""metric_dir"": ""results/gcd/plm_gcd"", ""metric_file"": ""results/gcd/plm_gcd/results.csv"", ""num_labels"": ""19"", ""all_num_labels"": ""77""}",,"{""task"": ""gcd"", ""config"": ""configs/gcd/plm_gcd.yaml"", ""dataset"": ""banking"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""fold_idx"": 0, ""seed"": 2025, ""gpu_id"": 5, ""method"": ""PLM_GCD"", ""data_dir"": ""./data"", ""output_base_dir"": ""./outputs/gcd/plm_gcd"", ""output_subdir"": ""banking_0.25_0.1_fold0_2025"", ""cluster_num_factor"": 1.0, ""result_dir"": ""./outputs/gcd/plm_gcd/banking_0.25_0.1_fold0_2025"", ""results_file_name"": ""results.csv"", ""K"": 0, ""num_pretrain_epochs"": 100, ""num_train_epochs"": 50}"
PLM_GCD-Meta-Llama-3.1-8B-Instruct,banking,0.25,0.1,1.0,2025.0,31.92,27.8,23.16,34.78,18.48,54.0,"{""config"": ""configs/gcd/plm_gcd.yaml"", ""dataset_name"": ""banking"", ""data_dir"": ""./data"", ""known_cls_ratio"": ""0.25"", ""num_pretrain_epochs"": ""100"", ""num_train_epochs"": ""50"", ""seed"": ""2025"", ""gpu_id"": ""5"", ""root"": ""data"", ""output_dir"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct"", ""save_results_path"": ""results/gcd/plm_gcd"", ""backbone"": ""Meta-Llama-3.1-8B-Instruct"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""lr"": ""0.001"", ""train_batch_size"": ""32"", ""eval_batch_size"": ""128"", ""labeled_ratio"": ""0.1"", ""fold_idx"": ""1"", ""fold_num"": ""5"", ""es_patience"": ""3"", ""es_min_delta"": ""0.0"", ""metric_for_best"": ""accuracy"", ""model_path"": ""./pretrained_models/Meta-Llama-3.1-8B-Instruct"", ""checkpoint_path"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct/checkpoints"", ""log_dir"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct/logs"", ""case_path"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct/case_study"", ""metric_dir"": ""results/gcd/plm_gcd"", ""metric_file"": ""results/gcd/plm_gcd/results.csv"", ""num_labels"": ""19"", ""all_num_labels"": ""77""}",,"{""task"": ""gcd"", ""config"": ""configs/gcd/plm_gcd.yaml"", ""dataset"": ""banking"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""fold_idx"": 1, ""seed"": 2025, ""gpu_id"": 5, ""method"": ""PLM_GCD"", ""data_dir"": ""./data"", ""output_base_dir"": ""./outputs/gcd/plm_gcd"", ""output_subdir"": ""banking_0.25_0.1_fold1_2025"", ""cluster_num_factor"": 1.0, ""result_dir"": ""./outputs/gcd/plm_gcd/banking_0.25_0.1_fold1_2025"", ""results_file_name"": ""results.csv"", ""K"": 0, ""num_pretrain_epochs"": 100, ""num_train_epochs"": 50}"
bias,banking,0.25,0.1,1.0,2025.0,40.49,37.86,34.08,42.59,27.1,65.54,"{""dataset"": ""banking"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""data_dir"": ""./data"", ""save_results_path"": ""./results/gcd/sdc"", ""pretrain_dir"": ""outputs/gcd/sdc/premodels/banking_0.25_0.1_fold3_seed2025"", ""train_dir"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold3_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""tokenizer"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 65, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""save_results"": false, ""freeze_bert_parameters"": false, ""save_model"": true, ""pretrain"": false, ""beta"": 0.03, ""seed"": 2025, ""rtr_prob"": 0.25, ""labeled_ratio"": 0.1, ""gpu_id"": ""6"", ""train_batch_size"": 32, ""pretrain_batch_size"": 32, ""eval_batch_size"": 32, ""pre_wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""num_iters_sk"": 3, ""epsilon_sk"": 0.05, ""imb_factor"": 1, ""fold_num"": 5, ""fold_idx"": 3, ""es_patience"": 10, ""es_min_delta"": 0.0, ""es_metric"": ""eval_acc"", ""config"": ""configs/gcd/sdc.yaml"", ""model_file_dir"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold3_seed2025"", ""model_file"": ""outputs/gcd/sdc/models/banking_0.25_0.1_fold3_seed2025/premodel.pth"", ""method"": ""bias""}",0.0
PLM_GCD-Meta-Llama-3.1-8B-Instruct,banking,0.25,0.1,1.0,2025.0,33.28,32.46,31.05,34.01,18.51,54.07,"{""config"": ""configs/gcd/plm_gcd.yaml"", ""dataset_name"": ""banking"", ""data_dir"": ""./data"", ""known_cls_ratio"": ""0.25"", ""num_pretrain_epochs"": ""100"", ""num_train_epochs"": ""50"", ""seed"": ""2025"", ""gpu_id"": ""5"", ""root"": ""data"", ""output_dir"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct"", ""save_results_path"": ""results/gcd/plm_gcd"", ""backbone"": ""Meta-Llama-3.1-8B-Instruct"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""lr"": ""0.001"", ""train_batch_size"": ""32"", ""eval_batch_size"": ""128"", ""labeled_ratio"": ""0.1"", ""fold_idx"": ""2"", ""fold_num"": ""5"", ""es_patience"": ""3"", ""es_min_delta"": ""0.0"", ""metric_for_best"": ""accuracy"", ""model_path"": ""./pretrained_models/Meta-Llama-3.1-8B-Instruct"", ""checkpoint_path"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct/checkpoints"", ""log_dir"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct/logs"", ""case_path"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct/case_study"", ""metric_dir"": ""results/gcd/plm_gcd"", ""metric_file"": ""results/gcd/plm_gcd/results.csv"", ""num_labels"": ""19"", ""all_num_labels"": ""77""}",,"{""task"": ""gcd"", ""config"": ""configs/gcd/plm_gcd.yaml"", ""dataset"": ""banking"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""fold_idx"": 2, ""seed"": 2025, ""gpu_id"": 5, ""method"": ""PLM_GCD"", ""data_dir"": ""./data"", ""output_base_dir"": ""./outputs/gcd/plm_gcd"", ""output_subdir"": ""banking_0.25_0.1_fold2_2025"", ""cluster_num_factor"": 1.0, ""result_dir"": ""./outputs/gcd/plm_gcd/banking_0.25_0.1_fold2_2025"", ""results_file_name"": ""results.csv"", ""K"": 0, ""num_pretrain_epochs"": 100, ""num_train_epochs"": 50}"
PLM_GCD-Meta-Llama-3.1-8B-Instruct,banking,0.25,0.1,1.0,2025.0,33.86,34.89,37.37,32.72,18.68,54.21,"{""config"": ""configs/gcd/plm_gcd.yaml"", ""dataset_name"": ""banking"", ""data_dir"": ""./data"", ""known_cls_ratio"": ""0.25"", ""num_pretrain_epochs"": ""100"", ""num_train_epochs"": ""50"", ""seed"": ""2025"", ""gpu_id"": ""5"", ""root"": ""data"", ""output_dir"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct"", ""save_results_path"": ""results/gcd/plm_gcd"", ""backbone"": ""Meta-Llama-3.1-8B-Instruct"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""lr"": ""0.001"", ""train_batch_size"": ""32"", ""eval_batch_size"": ""128"", ""labeled_ratio"": ""0.1"", ""fold_idx"": ""3"", ""fold_num"": ""5"", ""es_patience"": ""3"", ""es_min_delta"": ""0.0"", ""metric_for_best"": ""accuracy"", ""model_path"": ""./pretrained_models/Meta-Llama-3.1-8B-Instruct"", ""checkpoint_path"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct/checkpoints"", ""log_dir"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct/logs"", ""case_path"": ""./outputs/gcd/plm_gcd/gcd/plm_gcd/banking_0.25_2025_Meta-Llama-3.1-8B-Instruct/case_study"", ""metric_dir"": ""results/gcd/plm_gcd"", ""metric_file"": ""results/gcd/plm_gcd/results.csv"", ""num_labels"": ""19"", ""all_num_labels"": ""77""}",,"{""task"": ""gcd"", ""config"": ""configs/gcd/plm_gcd.yaml"", ""dataset"": ""banking"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""fold_idx"": 3, ""seed"": 2025, ""gpu_id"": 5, ""method"": ""PLM_GCD"", ""data_dir"": ""./data"", ""output_base_dir"": ""./outputs/gcd/plm_gcd"", ""output_subdir"": ""banking_0.25_0.1_fold3_2025"", ""cluster_num_factor"": 1.0, ""result_dir"": ""./outputs/gcd/plm_gcd/banking_0.25_0.1_fold3_2025"", ""results_file_name"": ""results.csv"", ""K"": 0, ""num_pretrain_epochs"": 100, ""num_train_epochs"": 50}"
DeepAligned,banking,0.25,0.1,1.0,2025.0,49.42,51.61,57.63,46.72,36.93,69.85,"{""data_dir"": ""data"", ""save_results_path"": ""results/gcd/deepaligned"", ""pretrain_dir"": ""outputs/gcd/deepaligned/premodels"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 55, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""banking"", ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""method"": ""DeepAligned"", ""labeled_ratio"": 0.1, ""gpu_id"": ""1"", ""train_batch_size"": 128, ""eval_batch_size"": 64, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 5e-05, ""lr"": 5e-05, ""fold_num"": 5, ""fold_idx"": 0, ""config"": ""configs/gcd/deepaligned.yaml""}",77.0
